caseNumber,reportedDate,offense,description
MP 2018 103871,2018-04-02T10:24:00.000Z,TFMV,Theft From Motr Vehc
MP 2018 103761,2018-04-02T10:30:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 103809,2018-04-02T10:50:00.000Z,ROBPER,Robbery Of Person
MP 2018 103898,2018-04-02T11:02:00.000Z,BURGD,Burglary Of Dwelling
MP 2018 103899,2018-04-02T11:04:00.000Z,TFMV,Theft From Motr Vehc
MP 2018 103834,2018-04-02T11:10:00.000Z,BURGB,Burglary Of Business
MP 2018 103846,2018-04-02T11:18:00.000Z,BURGD,Burglary Of Dwelling
MP 2018 103815,2018-04-02T11:20:00.000Z,BURGD,Burglary Of Dwelling
MP 2018 103826,2018-04-02T11:25:00.000Z,BURGD,Burglary Of Dwelling
MP 2018 998377,2018-04-02T11:40:32.000Z,THEFT,Other Theft
MP 2018 998376,2018-04-02T11:51:08.000Z,TFMV,Theft From Motr Vehc
MP 2018 998375,2018-04-02T11:55:10.000Z,TFMV,Theft From Motr Vehc
MP 2018 998374,2018-04-02T11:57:43.000Z,TFMV,Theft From Motr Vehc
MP 2018 998372,2018-04-02T12:09:09.000Z,THEFT,Other Theft
MP 2018 103911,2018-04-02T12:21:00.000Z,BURGD,Burglary Of Dwelling
MP 2018 103879,2018-04-02T12:28:00.000Z,SHOPLF,Shoplifting
MP 2018 998370,2018-04-02T12:42:23.000Z,TBLDG,Theft From Building
MP 2018 998368,2018-04-02T12:51:46.000Z,TFMV,Theft From Motr Vehc
MP 2018 103977,2018-04-02T13:08:00.000Z,THEFT,Other Theft
MP 2018 104028,2018-04-02T13:13:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 103950,2018-04-02T13:15:00.000Z,THEFT,Other Theft
MP 2018 104012,2018-04-02T13:30:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 104045,2018-04-02T13:30:00.000Z,THEFT,Other Theft
